Laboratory,LL0001,2 HOUR PP GLUCOSE,33.6
Laboratory,LL0002,24 HOUR METANEPHINE URINE,627.2
Laboratory,LL0003,24 HR URINARY CALCIUM LEVEL,56
Laboratory,LL0004,24 HR URINE CATEECHOLAMINES,728
Laboratory,LL0005,24 HR URINE SODIUM,24.64
Laboratory,LL0006,24HR URINE MICRO ALBUMIN,313.6
Laboratory,LL0007,24HR URINE PROTEIN,56
Laboratory,LL0008,24HR URINE VOLUME ESTIMATION,72.8
Laboratory,LL0009,A.S.O TITRE,17.92
Laboratory,LL0010,ACETYLCHOLINE RECEPTOR ANTIBODIES (ARA),873.6
Laboratory,LL0011,ACETYLCHOLINE RECEPTOR ANTIBODY,582.4
Laboratory,LL0012,ACID PHOSPHATASE (TOT & PROST),24.64
Laboratory,LL0013,ADDITIONAL UNIT OF BLOOD,56
Laboratory,LL0014,ADNEXAE (HISTOLOGY),313.6
Laboratory,LL0015,AFB CULTURE (SPUTUM),67.2
Laboratory,LL0016,AFP ALPHA FETO-PROTEIN,78.4
Laboratory,LL0017,ALBUMIN,33.6
Laboratory,LL0018,ALBUMIN CREATINE RATIO,67.2
Laboratory,LL0019,ALDOSTERONE - SERUM,87.36
Laboratory,LL0020,ALDOSTERONE / RENIN RATIO,156.8
Laboratory,LL0021,ALP ALKALINE PHOSPHATASE TEST,22.4
Laboratory,LL0022,ALT (GPT),22.4
Laboratory,LL0023,AMYLASE (URINE/SERUM),24.64
Laboratory,LL0024,ANGIOTENSIN CONVERTING ENZYME (ACE),67.2
Laboratory,LL0025,ANTI LA (ENA),89.6
Laboratory,LL0026,ANTI CENTRIMERE AB,235.2
Laboratory,LL0027,ANTI DEOXYRIBONUCLEIC ACID,89.6
Laboratory,LL0028,ANTI NUCLEIC ACID,89.6
Laboratory,LL0029,ANTI RNP (ENA),134.4
Laboratory,LL0030,ANTI RO (ENA),87.36
Laboratory,LL0031,ANTI SM (ENA),87.36
Laboratory,LL0032,ANTI THROMBIN III FUNCTION,112
Laboratory,LL0033,ANTI TOPO MEREASE AB,235.2
Laboratory,LL0034,ANTI-CYCLIC CITRULLINATED PEPTIDE,123.2
Laboratory,LL0035,ANTI-MULLERIAN HORMONE,302.4
Laboratory,LL0036,ANTICARDIOLIPIN ANTIBODY,212.8
Laboratory,LL0037,ANTINEUTROPHIL CYTOPLASMIC (ANCA),163.52
Laboratory,LL0038,ANTIPHOSPHOLIPID PROFILE,638.4
Laboratory,LL0039,ANTRAL BIOPSY (HISTOLOGY),212.8
Laboratory,LL0040,AP-PROTHROMBIN TIME,72.8
Laboratory,LL0041,APPENDIX (HISTOLOGY),313.6
Laboratory,LL0042,ARTERIAL BLOOD GAS (ABG),112
Laboratory,LL0043,ASCITIC/PLEURAL FLUID,72.8
Laboratory,LL0044,AST (GOT),22.4
Laboratory,LL0045,B2 MICROGLOBIN,123.2
Laboratory,LL0046,BENCE JONES PROTEIN,29.12
Laboratory,LL0047,BETA HCG (SERUM PREGNANCY TEST),56
Laboratory,LL0048,BETA 2 MICROGLOBULIN,72.8
Laboratory,LL0049,BILIRUBIN TOTAL /DIRECT,22.4
Laboratory,LL0050,BILL CORRECTION (LAB),0
Laboratory,LL0051,BLEEDING TIME,33.6
Laboratory,LL0052,BLOOD C/S,72.8
Laboratory,LL0053,BLOOD CROSSMATCHING,29.12
Laboratory,LL0054,BLOOD FILM COMMENT,33.6
Laboratory,LL0055,BLOOD FILM FOR MPS,13.44
Laboratory,LL0056,BLOOD GROUP X'MATCHING,72.8
Laboratory,LL0057,BLOOD GROUPING,17.92
Laboratory,LL0058,"BLOOD GROUPING, X'MACTH & TRANSF",123.2
Laboratory,LL0059,BLOOD PREGNANCY TEST,56
Laboratory,LL0060,BLOOD SUGAR,13.44
Laboratory,LL0061,BLOOD SUGAR (HOUR TESTING IN DKA),10.08
Laboratory,LL0062,BLOOD TOXICOLOGY SCREEN,448
Laboratory,LL0063,BLOOD UREA,22.4
Laboratory,LL0064,BRAIN TUMOURS,358.4
Laboratory,LL0065,BRCA 1 & 2 TEST,"1,008.00"
Laboratory,LL0066,BRCA 1 TEST,448
Laboratory,LL0067,BREAST LUMP (HISTOLOGY),313.6
Laboratory,LL0068,BUE & CREATININE,78.4
Laboratory,LL0069,C-PEPTIDE,100.8
Laboratory,LL0070,C. REACTIVE PROTEIN (C.R.P),44.8
Laboratory,LL0071,C. S. F (BIOCHEMISTRY),42.56
Laboratory,LL0072,C.S.F (BACTERIOLOGY),67.2
Laboratory,LL0073,C.S.F MICROSCOPY & CHEMISTRY,50.4
Laboratory,LL0074,C3/C4 COMPLEMENT,112
Laboratory,LL0075,CA - 72-4,95.2
Laboratory,LL0076,CA 15-3,112
Laboratory,LL0077,CA 19-9,72.8
Laboratory,LL0078,CA-125,72.8
Laboratory,LL0079,CALCANEUS,78.4
Laboratory,LL0080,CALCITONIN,806.4
Laboratory,LL0081,CALCIUM,38.08
Laboratory,LL0082,CANNABIS-URINE,87.36
Laboratory,LL0083,CARBAMAZEPINE LAB INVESTIGATION,67.2
Laboratory,LL0084,CARCINO EMBRYONIC ANTIGEN (CEA),67.2
Laboratory,LL0085,CARDIAC ENZYMES,112
Laboratory,LL0086,CD4 LEVEL,112
